location,day,so2,co,o3,no2,pm10,pm25
종로구,2022-04-01,.003,.4,.034,.017,15,10
종로구,2022-04-02,.004,.4,.036,.022,30,19
종로구,2022-04-03,.004,.5,.041,.024,43,30
종로구,2022-04-04,.004,.6,.04,.029,57,41
종로구,2022-04-05,.004,.5,.044,.032,43,29
종로구,2022-04-06,.003,.4,.046,.018,49,25
종로구,2022-04-07,.003,.4,.04,.016,34,11
종로구,2022-04-08,.004,.5,.038,.029,46,21
종로구,2022-04-09,.004,.6,.044,.031,51,26
종로구,2022-04-10,.004,.5,.047,.02,40,22
종로구,2022-04-11,.003,.4,.03,.023,34,18
종로구,2022-04-12,.003,.3,.031,.013,26,15
종로구,2022-04-13,.002,.3,.03,.012,13,7
종로구,2022-04-14,.003,.3,.038,.012,10,5
종로구,2022-04-15,.003,.4,.041,.013,18,9
종로구,2022-04-16,.003,.4,.041,.018,33,18
종로구,2022-04-17,.003,.5,.052,.018,51,29
종로구,2022-04-18,.004,.5,.054,.026,55,33
종로구,2022-04-19,.004,.6,.052,.03,65,40
종로구,2022-04-20,.004,.6,.061,.028,69,46
종로구,2022-04-21,.004,.6,.053,.026,49,29
종로구,2022-04-22,.003,.5,.058,.015,52,28
종로구,2022-04-23,.003,.5,.043,.023,49,32
종로구,2022-04-24,.003,.5,.064,.013,48,29
종로구,2022-04-25,.003,.6,.041,.023,46,30
종로구,2022-04-26,.003,.4,.048,.011,42,21
종로구,2022-04-27,.003,.3,.041,.014,142,18
종로구,2022-04-28,.003,.4,.038,.021,67,16
종로구,2022-04-29,.002,.3,.041,.009,8,3
종로구,2022-04-30,.003,.4,.042,.012,17,10
종로구,2022-05-01,.003,.4,.048,.012,41,15
종로구,2022-05-02,.003,.5,.043,.017,44,21
종로구,2022-05-03,.003,.4,.043,.022,34,21
종로구,2022-05-04,.004,.5,.045,.027,36,20
종로구,2022-05-05,.004,.5,.049,.019,32,17
종로구,2022-05-06,.003,.4,.034,.018,35,20
종로구,2022-05-07,.002,.3,.042,.009,28,12
종로구,2022-05-08,.002,.3,.042,.009,16,8
종로구,2022-05-09,.002,.3,.041,.015,15,8
종로구,2022-05-10,.003,.4,.04,.024,23,13
종로구,2022-05-11,.003,.4,.053,.017,28,14
종로구,2022-05-12,.003,.4,.048,.016,30,14
종로구,2022-05-13,.003,.4,.042,.013,26,12
종로구,2022-05-14,.003,.3,.044,.009,30,10
종로구,2022-05-15,.003,.3,.049,.007,22,9
종로구,2022-05-16,.003,.4,.056,.015,32,13
종로구,2022-05-17,.004,.5,.074,.017,50,27
종로구,2022-05-18,.004,.5,.079,.017,56,32
종로구,2022-05-19,.004,.4,.071,.014,44,22
종로구,2022-05-20,.004,.4,.055,.018,33,22
종로구,2022-05-21,.003,.4,.043,.014,34,23
종로구,2022-05-22,.003,.4,.059,.01,36,24
종로구,2022-05-23,.004,.5,.072,.018,61,40
종로구,2022-05-24,.003,.4,.047,.017,30,18
종로구,2022-05-25,.003,.3,.042,.018,22,13
종로구,2022-05-26,.003,.3,.043,.012,22,8
종로구,2022-05-27,.003,.4,.05,.013,23,10
종로구,2022-05-28,.004,.5,.058,.017,31,18
종로구,2022-05-29,.003,.4,.066,.007,27,20
종로구,2022-05-30,.003,.4,.043,.012,25,17
종로구,2022-05-31,.003,.4,.042,.018,24,9
종로구,2022-06-01,.003,.4,.047,.018,22,9
종로구,2022-06-02,.003,.4,.052,.014,27,15
종로구,2022-06-03,.003,.5,.062,.017,36,23
종로구,2022-06-04,.003,.4,.059,.014,33,20
종로구,2022-06-05,.003,.3,.052,.01,22,16
종로구,2022-06-06,.003,.3,.031,.006,7,3
종로구,2022-06-07,.002,.3,.033,.009,5,2
종로구,2022-06-08,.002,.3,.038,.012,14,8
종로구,2022-06-09,.003,.4,.028,.017,23,14
종로구,2022-06-10,.003,.4,.03,.018,25,17
종로구,2022-06-11,.003,.3,.045,.01,20,13
종로구,2022-06-12,.003,.3,.057,.008,21,14
종로구,2022-06-13,.003,.4,.038,.011,20,14
종로구,2022-06-14,.002,.3,.033,.007,11,5
종로구,2022-06-15,.002,.3,.023,.014,9,6
종로구,2022-06-16,.003,.4,.026,.015,13,9
종로구,2022-06-17,.003,.5,.032,.021,36,20
종로구,2022-06-18,.003,.4,.025,.014,22,13
종로구,2022-06-19,.003,.4,.033,.011,25,15
종로구,2022-06-20,.003,.4,.036,.015,24,15
종로구,2022-06-21,.003,.4,.035,.017,23,14
종로구,2022-06-22,.003,.4,.039,.019,24,15
종로구,2022-06-23,.003,.4,.026,.022,25,19
종로구,2022-06-24,.003,.4,.04,.013,20,14
종로구,2022-06-25,.003,.5,.065,.01,42,31
종로구,2022-06-26,.003,.3,.03,.009,22,12
종로구,2022-06-27,.003,.3,.008,.011,10,4
종로구,2022-06-28,.003,.2,.013,.007,15,6
종로구,2022-06-29,.003,.3,.015,.009,12,5
종로구,2022-06-30,.003,.3,.032,.017,4,2
종로구,2022-07-01,.003,.4,.014,.018,17,8
종로구,2022-07-02,.003,.4,.04,.012,25,15
종로구,2022-07-03,.004,.3,.047,.009,32,25
종로구,2022-07-04,.003,.4,.033,.015,32,26
종로구,2022-07-05,.003,.4,.048,.019,29,24
종로구,2022-07-06,.003,.4,.037,.016,26,20
종로구,2022-07-07,.003,.3,.023,.014,20,12
종로구,2022-07-08,.003,.3,.042,.015,25,18
종로구,2022-07-09,.003,.4,.044,.012,21,15
종로구,2022-07-10,.004,.5,.065,.016,38,27
종로구,2022-07-11,.003,.4,.045,.016,22,15
종로구,2022-07-12,.003,.3,.033,.014,10,5
종로구,2022-07-13,.003,.4,.019,.02,16,11
종로구,2022-07-14,.003,.4,.035,.013,11,8
종로구,2022-07-15,.003,.4,.044,.015,23,15
종로구,2022-07-16,.003,.5,.047,.016,28,21
종로구,2022-07-17,.003,.4,.045,.013,24,18
종로구,2022-07-18,.003,.4,.047,.016,24,18
종로구,2022-07-19,.003,.4,.056,.013,31,23
종로구,2022-07-20,.003,.4,.055,.014,32,21
종로구,2022-07-21,.003,.4,.044,.009,12,9
종로구,2022-07-22,.003,.4,.048,.011,25,17
종로구,2022-07-23,.003,.5,.04,.015,33,24
종로구,2022-07-24,.003,.4,.044,.008,16,13
종로구,2022-07-25,.003,.4,.028,.011,19,9
종로구,2022-07-26,.003,.4,.059,.016,31,21
종로구,2022-07-27,.003,.5,.043,.018,30,21
종로구,2022-07-28,.003,.4,.042,.014,24,17
종로구,2022-07-29,.003,.3,.043,.014,23,17
종로구,2022-07-30,.003,.3,.027,.01,16,11
종로구,2022-07-31,.003,.3,.013,.008,10,7
종로구,2022-08-01,.003,.3,.016,.011,14,10
종로구,2022-08-02,.003,.3,.016,.011,11,7
종로구,2022-08-03,.003,.4,.032,.015,23,18
종로구,2022-08-04,.003,.2,.028,.012,17,11
종로구,2022-08-05,.003,.2,.024,.013,20,11
종로구,2022-08-06,.003,.3,.038,.015,37,24
종로구,2022-08-07,.003,.2,.032,.009,29,19
종로구,2022-08-08,.003,.3,.035,.013,23,12
종로구,2022-08-09,.003,.4,.03,.015,11,5
종로구,2022-08-10,.003,.4,.038,.021,13,6
종로구,2022-08-11,.003,.5,.033,.022,13,9
종로구,2022-08-12,.003,.4,.052,.016,24,14
종로구,2022-08-13,.004,.5,.023,.026,28,18
종로구,2022-08-14,.003,.4,.035,.012,24,15
종로구,2022-08-15,.003,.3,.03,.007,28,11
종로구,2022-08-16,.003,.5,.041,.016,26,13
종로구,2022-08-17,.003,.5,.041,.019,22,14
종로구,2022-08-18,.003,.4,.042,.019,23,14
종로구,2022-08-19,.003,.4,.028,.02,26,15
