store,address,phone,address2,_GC_TYPE,_CLEANADDR,_PNU,_X,_Y
차병원점,서울시 강남구 논현로 566 강남차병원1층,02-538-7615,서울특별시 강남구 논현로 566 강남차병원1층,정,서울특별시 강남구 논현로 566 (역삼동),1168010100106500009,127.03473811283061,37.50703961314565
강남대로점,서울시 서초구 강남대로 369 1층,02-588-5778,서울특별시 서초구 강남대로 369 1층,정,서울특별시 서초구 강남대로 369 (서초동),1165010800113280003,127.02820816295831,37.49567407019134
신사점,서울시 강남구 도산대로 126,02-548-2741,서울특별시 강남구 도산대로 126,정,서울특별시 강남구 도산대로 126 (논현동),1168010800100040002,127.02240959317812,37.51696625733457
역삼점,"서울시 강남구 논현로 512  지상1,2층",02-569-8051,"서울특별시 강남구 논현로 512 지상1,2층",정,서울특별시 강남구 논현로 512 (역삼동),1168010100106680017,127.03652127879646,37.50234990298033
청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호",02-548-6052,"서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호",정,서울특별시 강남구 압구정로 461 (청담동),1168010400101180017,127.04723314375501,37.5252497901454
양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층,02-578-6833,서울특별시 서초구 강남대로 213 24호 지하1층,정,서울특별시 서초구 강남대로 213 (양재동),1165010200100240000,127.03490600102366,37.482727476919436
청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층,02-542-2053,서울특별시 강남구 삼성로 716 LEE76빌딩2층,정,서울특별시 강남구 삼성로 716 (청담동),1168010400100760000,127.05002409627461,37.51990947521295
영동점,서울 서초구 반포동 736-17 P빌딩 2층,02-3443-2096,서울특별시 서초구 반포동 736-17 P빌딩 2층,정,서울특별시 서초구 반포동 736-17,1165010700107360017,127.02279287358077,37.50679183531405
영동고앞점,"서울시 강남구 선릉로 749 1,2층",02-544-3794,"서울특별시 강남구 선릉로 749 1,2층",유,서울특별시 강남구 선릉로 749 (논현동),1168010800101010024,127.039453736855,37.52148771665884
도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호",02-572-2781,"서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호",유,서울특별시 강남구 언주로30길 10 (도곡동),1168011800104670019,127.05155363011512,37.487339435701706
압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호",02-543-5922,"서울특별시 강남구 도산대로49길 13 1층 17,18호",정,서울특별시 강남구 도산대로49길 13 (신사동),1168010700106480012,127.03708376881623,37.523756360569294
삼성오크우드점,서울 강남구 테헤란로87길 46 지하 2층,02-3466-8507,서울특별시 강남구 테헤란로87길 46 지하 2층,정,서울특별시 강남구 테헤란로87길 46 (삼성동),1168010500101590000,127.0582055731211,37.51098245072797
서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층,02-582-0158,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,유,서울특별시 서초구 강남대로51길 1 (서초동),1165010800113380011,127.03026258079018,37.491287912705786
트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층,02-803-9994,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,정,서울특별시 강남구 영동대로 511 (삼성동),1168010500101590001,127.06099979973578,37.510321267700924
논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층,02-513-3870,서울특별시 강남구 논현 231-13호 팍스타워지하1층,정,서울특별시 강남구 논현동 231,1168010800102310000,127.0359642205284,37.510047131468134
서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호",02-3477-5580,"서울특별시 서초구 서초동 1685-8호 101~2호,113~4호,121호",정,서울특별시 서초구 서초동 1685,1165010800116850000,127.01560090851564,37.4987295970457
삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층",02-3443-5618,"서울특별시 강남구 영동대로 607 1,2층",유,서울특별시 강남구 영동대로 607 (삼성동),1168010500100770011,127.05948692536901,37.514548646463794
잠실신천점,서울시 송파구 석촌호수로 118 1층,02-416-9520,서울특별시 송파구 석촌호수로 118 1층,정,서울특별시 송파구 석촌호수로 118 (잠실동),1171010100102420009,127.0900350975532,37.50744047150724
논현동수면센터점,서울시 강남구 논현로 717 1층,02-3443-5575,서울특별시 강남구 논현로 717 1층,정,서울특별시 강남구 논현로 717 (논현동),1168010800100340021,127.02953682338341,37.51596129087994
삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층,02-2055-1142,서울특별시 서초구 서초대로74길 11 지하2층,정,서울특별시 서초구 서초대로74길 11 (서초동),1165010800113200010,127.02694186106164,37.49657302976404
삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,02-581-5562,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,정,서울특별시 서초구 서초대로74길 4 (서초동),1165010800113210015,127.02565413698001,37.49680361608399
테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층,02-538-9927,서울특별시 강남구 테헤란로 70길 12 1층,정,서울특별시 강남구 테헤란로70길 12 (대치동),1168010600108900060,127.05315771409961,37.5047422302738
삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층,02-538-4523,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,정,서울특별시 강남구 봉은사로 628 (삼성동),1168010500101620002,127.0641641421308,37.5146701999603
방배카페골목점,서울특별시 서초구 방배중앙로 187,02-592-7794,서울특별시 서초구 방배중앙로 187,정,서울특별시 서초구 방배중앙로 187 (방배동),1165010100107610006,126.98551882887102,37.495718223364975
